time,emotion
2025-01-26T00:33:29.934932,Tristeza
2025-01-26T00:33:30.258035,Neutral
2025-01-26T00:33:30.343362,Neutral
2025-01-26T00:33:30.465484,Neutral
2025-01-26T00:33:30.551557,Neutral
2025-01-26T00:33:30.655778,Neutral
2025-01-26T00:33:30.738444,Neutral
2025-01-26T00:33:30.854709,Neutral
2025-01-26T00:33:30.938185,Neutral
2025-01-26T00:33:31.054690,Neutral
2025-01-26T00:33:31.140183,Neutral
2025-01-26T00:33:31.259678,Neutral
2025-01-26T00:33:31.331786,Tristeza
2025-01-26T00:33:31.458970,Neutral
2025-01-26T00:33:31.531698,Tristeza
2025-01-26T00:33:31.656960,Neutral
2025-01-26T00:33:31.733334,Neutral
2025-01-26T00:33:31.859539,Neutral
2025-01-26T00:33:31.940138,Neutral
2025-01-26T00:33:32.055478,Neutral
2025-01-26T00:33:32.139263,Neutral
2025-01-26T00:33:32.254517,Neutral
2025-01-26T00:33:32.338519,Neutral
2025-01-26T00:33:32.452159,Neutral
2025-01-26T00:33:32.538588,Neutral
2025-01-26T00:33:32.659750,Neutral
2025-01-26T00:33:32.740718,Neutral
2025-01-26T00:33:32.859233,Neutral
2025-01-26T00:33:32.938970,Neutral
2025-01-26T00:33:33.047810,Neutral
2025-01-26T00:33:33.130643,Neutral
2025-01-26T00:33:33.255550,Neutral
2025-01-26T00:33:33.341821,Neutral
2025-01-26T00:33:33.457806,Neutral
2025-01-26T00:33:33.537909,Neutral
2025-01-26T00:33:33.648119,Neutral
2025-01-26T00:33:33.734291,Neutral
2025-01-26T00:33:33.869259,Miedo
2025-01-26T00:33:33.958735,Miedo
2025-01-26T00:33:34.063314,Miedo
2025-01-26T00:33:34.148483,Neutral
2025-01-26T00:33:34.260512,Neutral
2025-01-26T00:33:34.355847,Miedo
2025-01-26T00:33:34.467846,Neutral
2025-01-26T00:33:34.552905,Tristeza
2025-01-26T00:33:34.651371,Tristeza
2025-01-26T00:33:34.739804,Neutral
2025-01-26T00:33:34.848039,Miedo
2025-01-26T00:33:34.931521,Neutral
2025-01-26T00:33:35.051399,Miedo
2025-01-26T00:33:35.133675,Neutral
2025-01-26T00:33:35.264019,Neutral
2025-01-26T00:33:35.349452,Miedo
2025-01-26T00:33:43.184193,Tristeza
2025-01-26T00:33:43.384063,Tristeza
2025-01-26T00:33:43.784386,Neutral
2025-01-26T00:33:43.981667,Felicidad
2025-01-26T00:33:44.177147,Miedo
2025-01-26T00:33:44.375517,Neutral
2025-01-26T00:33:44.578687,Felicidad
2025-01-26T00:33:44.776620,Neutral
2025-01-26T00:33:44.984318,Neutral
2025-01-26T00:33:45.184346,Felicidad
2025-01-26T00:33:45.397649,Tristeza
2025-01-26T00:33:45.780380,Neutral
2025-01-26T00:33:46.182429,Tristeza
2025-01-26T00:33:46.372238,Miedo
2025-01-26T00:33:46.585235,Tristeza
2025-01-26T00:33:46.775647,Miedo
2025-01-26T00:33:46.978463,Tristeza
2025-01-26T00:33:47.182315,Tristeza
2025-01-26T00:33:47.582809,Neutral
2025-01-26T00:33:47.781033,Neutral
2025-01-26T00:33:47.986575,Tristeza
2025-01-26T00:33:48.182922,Neutral
2025-01-26T00:33:48.372221,Felicidad
2025-01-26T00:33:48.572445,Felicidad
2025-01-26T00:33:48.777470,Tristeza
2025-01-26T00:33:48.972965,Felicidad
2025-01-26T00:33:49.172302,Felicidad
2025-01-26T00:33:49.372644,Felicidad
2025-01-26T00:33:49.573616,Felicidad
2025-01-26T00:33:49.781286,Tristeza
2025-01-26T00:33:49.980109,Felicidad
2025-01-26T00:33:50.176245,Felicidad
2025-01-26T00:33:50.379871,Felicidad
2025-01-26T00:33:50.578448,Felicidad
2025-01-26T00:33:50.774823,Felicidad
2025-01-26T00:33:50.982858,Felicidad
2025-01-26T00:33:51.180272,Felicidad
2025-01-26T00:33:51.382866,Tristeza
2025-01-26T00:33:51.576765,Tristeza
